netspend,Crave_Cinema,Crave_Display,Crave_Outdoor,Crave_Social,Crave_TV,Crave_VOD,Delivery Awareness_Display,Delivery Awareness_Outdoor,Delivery Awareness_Partnerships,Delivery Awareness_Social,Delivery Awareness_TV,Delivery Awareness_VOD,Disruptive Value_Audio,Disruptive Value_Display,Disruptive Value_Outdoor,Disruptive Value_PPC,Disruptive Value_Social,Disruptive Value_TV,Disruptive Value_VOD,App_Audio,App_Display,App_Outdoor,App_PPC,App_Social,App_VOD,LTOs_Audio,LTOs_Display,LTOs_Outdoor,LTOs_PPC,LTOs_Social,LTOs_TV,LTOs_VOD,Lunch_Outdoor,Lunch_PPC,Lunch_Social,Lunch_TV,Lunch_VOD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,000",608.0744899,448.9032284,612.3991433,731.7331688,583.2645822,423.8234036,296.6223592,356.9927182,454.8418505,559.1246604,955.8070794,1488.874025,690.0555775,646.0925003,407.5671097,815.85084,1006.390944,275.7157208,435.5269708,176.1677978,278.9535914,488.5107812,35.66644081,517.0009072,163.521649,753.1380313,542.8621818,309.1245697,361.2056006,667.7572674,654.9623317,337.6744683,600.5484094,444.6933393,1137.81531,1204.209969,761.8711699
"2,000",1169.542012,885.0971804,1210.228254,1413.389818,1160.954044,820.7963251,570.0737213,709.4421462,906.6538572,1091.994329,1900.566719,2879.978685,1367.989212,1277.18117,810.9909759,1585.074392,1984.895854,550.6094361,863.2187402,350.7475079,552.77975,964.9188182,70.65068785,1010.369697,278.390484,1500.211459,1077.53498,616.0724077,661.5339417,1318.727274,1307.368432,670.9513064,1191.383789,870.8473008,2204.040005,2391.239004,1465.981882
"3,000",1689.16992,1309.146058,1793.905218,2049.587951,1733.134211,1193.161201,822.3020191,1057.409337,1355.456216,1599.902012,2834.413479,4179.73689,2034.013844,1893.614435,1210.313718,2310.335487,2936.287421,824.6835966,1283.216265,523.7534463,821.5727229,1429.523954,104.9657895,1481.186595,359.0822417,2241.270011,1604.143893,920.8592332,911.3576367,1953.338767,1957.228489,999.8890065,1772.761182,1279.750351,3206.013688,3561.421902,2116.784009
"4,000",2171.192389,1721.58453,2363.83467,2644.476505,2299.870029,1542.948994,1055.081374,1400.954481,1801.268986,2084.074315,3757.480203,5394.149416,2688.338676,2495.732629,1605.577027,2994.146654,3861.316929,1097.940646,1695.657965,695.1997999,1085.425025,1882.618602,138.6245444,1930.482447,415.7656733,2976.363002,2122.81247,1223.50065,1119.266166,2572.009405,2604.552648,1324.545271,2344.927857,1672.563677,4150.126422,4715.085792,2718.379997
"5,000",2619.371347,2122.919344,2920.408434,3201.784158,2861.22558,1871.999959,1270.028284,1740.13692,2244.112096,2545.674969,4669.898045,6528.82266,3331.169233,3083.868181,1996.822171,3638.87683,4760.714842,1370.383019,2100.679771,865.1006278,1344.42747,2324.487932,171.6395067,2359.240981,455.5840081,3705.539336,2633.662345,1524.012145,1292.374604,3175.146048,3249.351016,1644.977021,2908.123556,2050.335418,5041.94998,5852.55032,3274.55083
"6,000",3037.050406,2513.630844,3464.005945,3724.86303,3417.264091,2181.98234,1468.616267,2075.015161,2684.005339,2985.808166,5571.796489,7588.994573,3962.70743,3658.345804,2384.089996,4246.75956,5635.191384,1642.013147,2498.415169,1033.469862,1598.669203,2755.41005,204.0229902,2768.400957,483.5551407,4428.847511,3136.813263,1822.409095,1436.578593,3763.145042,3891.633658,1961.24041,3462.580727,2414.013251,5886.350671,6974.127833,3788.781709
"7,000",3427.202604,2894.174406,3994.994658,4216.727809,3968.047944,2474.409217,1652.189094,2405.646884,3120.968377,3405.521714,6463.30337,8579.558882,4583.151637,4219.482668,2767.420937,4819.90074,6485.437101,1912.833449,2888.995242,1200.321311,1848.237732,3175.65617,235.7870732,3158.858227,503.203985,5146.335621,3632.383111,2118.706761,1556.764965,4336.392488,4531.410596,2273.390834,4008.524756,2764.455528,6687.586331,8080.123554,4264.285639
"8,000",3792.472668,3264.981798,4513.730448,4680.090794,4513.638695,2750.653668,1821.972767,2732.088958,3555.020741,3805.810016,7344.544899,9505.087725,5192.696736,4767.588576,3146.855014,5360.285909,7312.123404,2182.846341,3272.548715,1365.668654,2093.218953,3585.490787,266.9436031,3531.46769,517.0066825,5858.051359,4120.487948,2412.920292,1656.985753,4895.264516,5168.691816,2581.482938,4546.174186,3102.441128,7449.389721,9170.835757,4704.025096
"9,000",4135.214418,3626.462466,5020.55799,5117.393255,5054.09708,3011.962443,1979.086351,3054.397452,3986.181831,4187.616895,8215.645684,10369.85279,5791.53419,5302.966139,3522.431843,5869.78713,8115.903099,2452.054229,3649.201999,1529.525453,2333.697185,3985.171843,297.5042004,3887.045171,526.702645,6564.042024,4601.242033,2705.064726,1740.602006,5440.12754,5803.487258,2885.57063,5075.740935,3428.678181,8175.040231,10246.55593,5110.731939
"10,000",4457.523887,3979.004738,5515.811127,5530.833536,5589.483028,3259.468265,2124.551778,3372.627645,4414.47092,4551.838258,9076.728746,11177.84507,6379.852094,5825.910941,3894.190634,6350.169475,8897.410903,2720.459515,4019.079228,1691.905142,2569.755199,4374.950892,327.4802637,4226.369202,533.5137549,7264.35452,5074.757853,2995.154992,1810.402649,5971.338514,6435.806828,3185.707093,5597.4305,3743.811785,8867.425549,11307.56896,5486.925704
"11,000",4761.268638,4322.976979,5999.813232,5922.392201,6119.855671,3494.200924,2259.302723,3686.834042,4839.907148,4899.324617,9927.915549,11932.79331,6957.835241,6336.711699,4262.170202,6803.097137,9657.263948,2988.064589,4382.302305,1852.821039,2801.474241,4755.073253,356.8829733,4550.182727,538.2983462,7959.03536,5541.146151,3283.205906,1868.70276,6489.245177,7065.660386,3481.944787,6111.442164,4048.430836,9529.094706,12354.15324,5834.930421
"12,000",5048.113715,4658.728671,6472.877548,6293.854564,6645.273359,3717.097264,2384.192635,3997.070379,5262.509532,5230.88348,10769.32601,12638.18126,7525.665179,6835.650429,4626.408965,7230.139199,10396.06226,3254.871839,4738.99094,2012.286338,3028.934066,5125.778169,385.7232959,4859.194733,541.6593717,8648.130673,6000.515954,3569.232178,1917.424842,6994.186294,7693.057757,3774.335468,6617.969183,4343.074085,10162.3037,13386.58091,6156.890067
"13,000",5319.544624,4986.591435,6935.307526,6646.830857,7165.793667,3929.010185,2500.002015,4303.38964,5682.296959,5547.281604,11601.07853,13297.26377,8083.520265,7323.002595,4986.944952,7632.775068,11114.38926,3520.883643,5089.262688,2170.314117,3252.212964,5487.298954,414.0119882,5154.081796,544.0203868,9331.686203,6452.974598,3853.248408,1958.166049,7486.491892,8318.008723,4062.930193,7117.198984,4628.23549,10769.05478,14405.11793,6454.782781
"14,000",5576.887675,5306.880002,7387.397147,6982.7743,7681.473409,4130.716752,2607.445007,4605.844065,6099.288191,5849.247132,12423.29,13913.08183,8631.575724,7799.037264,5343.815804,8012.3996,11812.81216,3786.102372,5433.23299,2326.917333,3471.387782,5839.863143,441.7596013,5435.489569,545.6789259,10009.74731,6898.627756,4135.26909,1992.253807,7966.483484,8940.523028,4347.779328,7609.31334,4904.368967,11351.13019,15410.02427,6730.433931
"15,000",5821.327989,5619.893125,7829.431229,7302.997273,8192.368646,4322.9255,2707.175366,4904.485159,6513.501867,6137.47161,13236.07584,14488.47664,9170.003701,8264.017258,5697.05878,8370.327932,12491.88251,4050.53039,5771.015209,2482.108829,3686.533958,6183.692634,468.9764844,5704.034189,546.8439977,10682.35899,7337.579463,4415.308612,2020.791847,8434.474294,9560.610377,4628.932561,8094.488554,5171.892597,"11,910.12",16401.55405,6985.528127
"16,000",6053.925453,5925.914442,8261.685735,7608.685807,8698.534697,4506.283027,2799.791875,5199.36371,6924.956497,6412.611904,14039.55,15026.10274,9698.973318,8718.199291,6046.710761,8707.800041,13152.13652,4314.170056,6102.720671,2635.901331,3897.725543,6519.003827,495.6727888,5960.303632,547.6624241,11349.56585,7769.932145,4693.381253,2044.698318,8890.76947,10178.28043,4906.43891,8572.895623,5431.19235,12447.45366,17379.95566,7221.62028
