netspend,Central_o,Central_s,Central_tv,Central_v,Heartland_o,Heartland_s,Heartland_tv,Heartland_v,Heartland_y,Scotland_o,Scotland_s,Scotland_tv,Scotland_v,South_o,South_s,South_tv,South_v,South_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,1079.0527,2394.427898,1660.048139,4593.338613,2752.807241,5626.61985,4174.435089,11372.57596,4228.02769,722.0254091,1306.311256,999.088103,1999.67483,465.6061798,1007.2541,645.9083972,1548.395928,803.3944188
2000,2031.774942,3776.440464,3259.063658,8416.419425,5247.86966,8933.509955,8180.609502,21218.14162,7477.060816,1387.682303,2191.738002,1982.920698,3477.869739,914.0354204,1889.59315,1280.44732,2956.643513,1556.723556
3000,2876.507991,4713.697845,4799.782737,11620.88211,7516.345144,11211.06903,12027.11828,29786.70767,10089.64231,2003.296771,2832.263742,2951.851154,4611.704285,1345.921406,2662.508544,1903.816899,4237.427856,2263.107339
4000,3628.677207,5422.100558,6284.809206,14326.57946,9585.168089,12914.92359,15722.07277,37283.90063,12263.8048,2574.214138,3304.689215,3906.221573,5502.389505,1761.874443,3339.570504,2516.213738,5402.285904,2925.471271
5000,4301.27028,5990.937696,7716.621108,16628.38316,11477.64535,14243.16328,19273.12876,43879.06252,14118.66734,3104.983439,3656.862831,4846.363211,6213.456941,2162.482322,3932.666335,3117.830984,6461.710372,3546.558545
6000,4905.236247,6462.113091,9097.576928,18601.52259,13213.96705,15301.01614,22687.51289,49711.85947,15729.24208,3599.504296,3921.752821,5772.596881,6788.039062,2548.311152,4452.209131,3708.858381,7425.244261,4128.941406
7000,5449.818464,6858.602969,10429.92151,20305.77341,14811.64436,16153.62551,25972.04757,54897.67445,17145.16633,4061.144063,4122.77475,6685.23334,7257.11296,2919.906153,4907.320605,4289.482337,8301.566813,4675.031805
8000,5942.832498,7195.034125,11715.7917,21788.7444,16285.88491,16845.66398,29133.17445,59532.00853,18400.96866,4492.831467,4276.762367,7584.573662,7643.744293,3277.792434,5305.991234,4859.885975,9098.571698,5187.091385
9000,6390.898082,7481.837159,12957.22166,23088.45728,17649.91458,17409.83332,32176.97641,63694.07363,19521.82443,4897.131642,4395.895636,8470.909598,7965.484321,3622.475731,5655.220554,5420.249197,9823.438113,5667.240852
10000,6799.63277,7727.014804,14156.14796,24235.37218,18915.25346,17871.08294,35109.19843,67449.72591,20526.87163,5276.306417,4489.02716,9344.523917,8235.857875,3954.443123,5961.14005,5970.748737,10482.69545,6117.468754
11000,7173.813639,7936.979879,15314.41442,25253.97825,20091.9526,18248.95126,37935.26707,70853.86136,21431.18218,5632.362919,4562.617321,10205.69073,8465.364263,4274.163719,6229.120808,6511.558218,11082.28212,6539.639719
12000,7517.512349,8117.003671,16433.77667,26164.04342,21188.79699,18558.99198,40660.3089,73952.3728,22246.97503,5967.092901,4621.400807,11054.67583,8662.191001,4582.089324,6463.867818,7042.848208,11627.59902,6935.502176
13000,7834.207971,8271.485731,17515.90651,26981.59667,22213.47981,18813.71383,43289.16785,76783.74909,22984.38994,6282.104681,4668.864132,11891.73697,8832.742373,4878.655071,6669.502576,7564.786271,12123.55823,7306.695598
14000,8126.881277,8404.132957,18562.39605,27719.70046,23172.75195,19023.2405,45826.42152,79380.38239,23651.99918,6578.849214,4707.588705,12717.12417,8982.039787,5164.280045,6849.635452,8077.537024,12574.6272,7654.757289
15000,8398.093564,8518.087666,19574.76165,28389.05864,24072.55032,19195.79772,48276.39651,81769.63736,24257.15766,6858.641471,4739.497749,13531.07998,9114.028964,5439.367868,7007.429072,8581.262184,12984.86904,7981.128754
16000,8650.052564,8616.024243,20554.44764,28998.49512,24918.1081,19338.08552,50643.18294,83974.72598,24806.2503,7122.678074,4766.034299,14333.83979,9231.81735,5704.307271,7145.653848,9076.120621,13357.97908,8287.161667
17000,8884.667593,8700.224924,21502.82987,29555.33115,25714.0494,19455.56981,52930.648,86015.42372,25304.87202,7372.051925,4788.289721,15125.63206,9337.858307,5959.472646,7266.736619,9562.268412,13697.31821,8574.12347
18000,9103.595709,8772.640839,22421.21912,30065.68299,26464.47054,19552.7144,55142.44881,87908.65637,25757.96204,7607.764418,4807.096686,15906.67856,9434.094355,6205.224571,7372.803259,10039.85888,14005.94308,8843.202619
19000,9308.280363,8834.942118,23310.86423,30534.69707,27173.01006,19633.16737,57282.0445,89668.98103,26169.90679,7830.735705,4823.096561,16677.19464,9522.068688,6441.910325,7465.715998,10509.04266,14286.63372,9095.513513
20000,9499.983797,8888.559597,24172.95522,30966.73597,27842.90877,19699.91191,59352.70753,91308.98091,26544.62021,8041.813385,4836.788394,17437.38945,9603.012057,6669.864371,7547.106125,10969.96773,14541.9185,9332.101101
21000,9679.814204,8934.719837,25008.62614,31365.52581,28477.06153,19755.38862,61357.53443,92839.58951,26885.6079,8241.77991,4848.564623,18187.46613,9677.910508,6889.408836,7618.40262,11422.77945,14774.09695,9553.945215
22000,9848.748521,8974.474742,25818.95783,31734.27322,29078.06175,19801.59512,63299.45583,94270.3572,27196.01918,8431.358945,4858.737206,18927.62208,9747.558196,7100.853963,7680.857249,11867.62065,14985.26048,9761.964628
23000,10007.65158,9008.726709,26604.98055,32075.75851,29648.23976,19840.16718,65181.24602,95609.6708,27478.6901,8611.220871,4867.556826,19658.04913,9812.598595,7304.498549,7735.566541,12304.63161,15177.31118,9957.020856
24000,10157.29221,9038.25006,27367.67642,32392.4098,30189.6959,19872.4449,67005.53178,96864.93448,27736.17949,8781.987574,4875.227066,20378.93372,9873.556649,7500.630368,7783.491037,12733.95018,15351.979,10139.92173
25000,10298.35676,9063.70934,28107.98181,32686.36252,30704.32896,19899.5267,68774.8009,98042.71925,27970.79955,8944.236651,4881.914952,21090.45714,9930.863876,7689.526578,7825.472155,13155.71176,15510.83729,10311.42473
26000,10431.46056,9085.674969,28826.78959,32959.50706,31193.86088,19922.31344,70491.41001,99148.88666,28184.64221,9098.505121,4887.758824,21792.79566,9984.877976,7871.454112,7862.246968,13570.04936,15655.31701,10472.24015
27000,10557.15752,9104.636638,29524.95122,33213.5272,31659.85795,19941.54437,72157.59209,100188.6912,28379.60185,9245.292719,4892.874282,22486.12074,10035.89815,8046.670054,7894.461136,13977.09366,15786.71959,10623.03401
28000,10675.94828,9121.014785,30203.27882,33449.93117,32103.74923,19957.82659,73775.46347,101166.8658,28557.39539,9385.064848,4897.35869,23170.5992,10084.1771,8215.422007,7922.68025,14376.97305,15906.22866,10764.43081
