netspend,sales,brand,crave
0,0,0,0
1000,16209,7211.53,7932.683
2000,31912,14396,15835.6
3000,47228,21555,23710.5
4000,62211,28699,31568.9
5000,76887,35818,39399.8
6000,91311,42909,47199.9
7000,105467,49988,54986.8
8000,119397,57026,62728.6
9000,133087,64064,70470.4
10000,146577,71062,78168.2
11000,159840,78047,85851.7
12000,172903,85005,93505.5
13000,185754,91950,101145
14000,198417,98869,108755.9
15000,210894,105760,116336
16000,223184,112639,123902.9
17000,235301,119490,131439
18000,247245,126315,138946.5
19000,259002,133127,146439.7
20000,270612,139925,153917.5
21000,282049,146697,161366.7
22000,293327,153442,168786.2
23000,304457,160173,176190.3
24000,315441,166878,183565.8
25000,326278,173557,190912.7
26000,336969,180235,198258.5
27000,347526,186873,205560.3
28000,357937,193498,212847.8
29000,368228,200110,220121
30000,378385,206695,227364.5
31000,388410,213267,234593.7
32000,398327,219812,241793.2
33000,408111,226343,248977.3
34000,417789,232848,256132.8
35000,427346,239340,263274
36000,436797,245805,270385.5
37000,446142,252257,277482.7
38000,455379,258695,284564.5
39000,464511,265107,291617.7
40000,473548,271505,298655.5
41000,482479,277877,305664.7
42000,491317,284236,312659.6
43000,500062,290581,319639.1
44000,508713,296899,326588.9
45000,517271,303204,333524.4
46000,525749,309483,340431.3
47000,534133,315748,347322.8
48000,542438,321999,354198.9
49000,550662,328225,361047.5
50000,558807,334436,367879.6
51000,566872,340635,374698.5
52000,574870,346807,381487.7
53000,582774,352965,388261.5
54000,590626,359110,395021
55000,598397,365242,401766.2
56000,606088,371347,408481.7
57000,613727,377439,415182.9
58000,621285,383504,421854.4
59000,628789,389569,428525.9
60000,636214,395608,435168.8
61000,643586,401633,441796.3
62000,650904,407631,448394.1
63000,658155,413617,454978.7
64000,665340,419588,461546.8
65000,672472,425547,468101.7
66000,679550,431492,474641.2
67000,686575,437411,481152.1
68000,693533,443316,487647.6
69000,700452,449208,494128.8
70000,707303,455086,500594.6
71000,714115,460938,507031.8
72000,720873,466790,513469
73000,727578,472615,519876.5
74000,734243,478427,526269.7
75000,740855,484226,532648.6
76000,747413,489997,538996.7
77000,753945,495769,545345.9
78000,760410,501515,551666.5
79000,766848,507246,557970.6
80000,773233,512965,564261.5
81000,779578,518670,570537
82000,785883,524349,576783.9
83000,792149,530027,583029.7
84000,798360,535679,589246.9
85000,804545,541331,595464.1
86000,810691,546957,601652.7
87000,816796,552568,607824.8
88000,822861,558167,613983.7
89000,828886,563752,620127.2
90000,834885,569311,626242.1
91000,840843,574870,632357
92000,846762,580415,638456.5
93000,852653,585933,644526.3
94000,858505,591439,650582.9
95000,864331,596944,656638.4
96000,870116,602423,662665.3
97000,875874,607888,668676.8
98000,881593,613340,674674
99000,887285,618779,680656.9
100000,892937,624204,686624.4
101000,898575,629616,692577.6
102000,904174,635015,698516.5
103000,909746,640400,704440
104000,915278,645772,710349.2
105000,920796,651131,716244.1
106000,926275,656476,722123.6
107000,931727,661808,727988.8
108000,937166,667113,733824.3
109000,942564,672419,739660.9
110000,947936,677711,745482.1
111000,953282,682989,751287.9
112000,958600,688255,757080.5
113000,963906,693493,762842.3
114000,969171,698732,768605.2
115000,974410,703957,774352.7
116000,979635,709169,780085.9
117000,984834,714368,785804.8
118000,990006,719553,791508.3
119000,995151,724725,797197.5
120000,1000270,729884,802872.4
121000,1005375,735030,808533
122000,1010454,740162,814178.2
123000,1015506,745280,819808
124000,1020545,750386,825424.6
125000,1025544,755478,831025.8
126000,1030542,760570,836627
127000,1035501,765635,842198.5
128000,1040446,770687,847755.7
129000,1045379,775739,853312.9
