netspend,Crave,Delivery Awareness,Disruptive Value,App,LTOs,Lunch
0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000.00,592.00,582.00,442.00,322.00,498.00,899.00
2000.00,1180.00,1159.00,882.00,640.00,993.00,1784.00
3000.00,1763.00,1730.00,1320.00,954.00,1483.00,2656.00
4000.00,2341.00,2295.00,1757.00,1265.00,1970.00,3515.00
5000.00,2915.00,2855.00,2192.00,1572.00,2452.00,4361.00
6000.00,3485.00,3409.00,2625.00,1875.00,2931.00,5196.00
7000.00,4050.00,3958.00,3056.00,2176.00,3407.00,6018.00
8000.00,4611.00,4502.00,3486.00,2473.00,3878.00,6828.00
9000.00,5168.00,5041.00,3914.00,2766.00,4346.00,7627.00
10000.00,5721.00,5574.00,4340.00,3056.00,4810.00,8415.00
11000.00,6269.00,6103.00,4765.00,3343.00,5270.00,9192.00
12000.00,6814.00,6626.00,5188.00,3627.00,5727.00,9958.00
13000.00,7354.00,7145.00,5610.00,3907.00,6181.00,10713.00
14000.00,7890.00,7659.00,6029.00,4185.00,6630.00,11458.00
15000.00,8422.00,8168.00,6448.00,4459.00,7077.00,12193.00
16000.00,8950.00,8673.00,6864.00,4730.00,7520.00,12918.00
17000.00,9475.00,9173.00,7279.00,4998.00,7959.00,13634.00
18000.00,9995.00,9668.00,7692.00,5263.00,8395.00,14340.00
19000.00,10512.00,10159.00,8104.00,5526.00,8828.00,15037.00
20000.00,11025.00,10645.00,8514.00,5785.00,9257.00,15725.00
21000.00,11534.00,11127.00,8922.00,6042.00,9683.00,16404.00
22000.00,12039.00,11605.00,9329.00,6295.00,10106.00,17074.00
23000.00,12541.00,12079.00,9735.00,6546.00,10526.00,17735.00
24000.00,13039.00,12548.00,10138.00,6794.00,10942.00,18389.00
25000.00,13533.00,13013.00,10541.00,7040.00,11355.00,19034.00
26000.00,14024.00,13474.00,10941.00,7283.00,11766.00,19671.00
27000.00,14511.00,13932.00,11340.00,7523.00,12173.00,20300.00
28000.00,14995.00,14385.00,11738.00,7760.00,12576.00,20922.00
29000.00,15476.00,14834.00,12134.00,7995.00,12977.00,21536.00
30000.00,15952.00,15280.00,12528.00,8227.00,13375.00,22142.00
31000.00,16426.00,15721.00,12921.00,8457.00,13770.00,22742.00
32000.00,16896.00,16159.00,13312.00,8685.00,14162.00,23334.00
33000.00,17363.00,16593.00,13702.00,8910.00,14551.00,23919.00
34000.00,17827.00,17024.00,14090.00,9132.00,14937.00,24498.00
35000.00,18287.00,17451.00,14477.00,9352.00,15320.00,25069.00
36000.00,18744.00,17874.00,14863.00,9570.00,15700.00,25634.00
37000.00,19198.00,18294.00,15246.00,9785.00,16077.00,26193.00
38000.00,19649.00,18710.00,15629.00,9998.00,16452.00,26745.00
39000.00,20096.00,19123.00,16010.00,10209.00,16823.00,27291.00
40000.00,20541.00,19533.00,16389.00,10418.00,17192.00,27831.00
41000.00,20982.00,19939.00,16767.00,10624.00,17559.00,28365.00
42000.00,21421.00,20342.00,17144.00,10828.00,17922.00,28892.00
43000.00,21856.00,20742.00,17519.00,11030.00,18283.00,29415.00
44000.00,22289.00,21138.00,17892.00,11230.00,18641.00,29931.00
45000.00,22718.00,21532.00,18264.00,11428.00,18997.00,30442.00
46000.00,23145.00,21922.00,18635.00,11624.00,19350.00,30947.00
47000.00,23568.00,22309.00,19004.00,11817.00,19700.00,31447.00
48000.00,23989.00,22693.00,19372.00,12009.00,20048.00,31942.00
49000.00,24407.00,23074.00,19739.00,12198.00,20393.00,32431.00
50000.00,24822.00,23452.00,20104.00,12386.00,20736.00,32915.00
51000.00,25234.00,23828.00,20467.00,12572.00,21076.00,33394.00
52000.00,25644.00,24200.00,20830.00,12755.00,21414.00,33869.00
53000.00,26051.00,24569.00,21191.00,12937.00,21749.00,34338.00
54000.00,26455.00,24936.00,21550.00,13117.00,22082.00,34802.00
55000.00,26856.00,25300.00,21908.00,13295.00,22413.00,35262.00
56000.00,27255.00,25661.00,22265.00,13471.00,22741.00,35717.00
57000.00,27651.00,26019.00,22620.00,13645.00,23066.00,36168.00
58000.00,28045.00,26375.00,22974.00,13818.00,23390.00,36614.00
59000.00,28436.00,26728.00,23327.00,13989.00,23711.00,37056.00
60000.00,28824.00,27078.00,23678.00,14158.00,24029.00,37493.00
61000.00,29210.00,27426.00,24028.00,14325.00,24346.00,37926.00
62000.00,29594.00,27771.00,24377.00,14491.00,24660.00,38355.00
63000.00,29975.00,28113.00,24724.00,14655.00,24972.00,38780.00
64000.00,30353.00,28454.00,25070.00,14817.00,25281.00,39201.00
65000.00,30729.00,28791.00,25415.00,14977.00,25589.00,39617.00
66000.00,31103.00,29126.00,25758.00,15136.00,25894.00,40030.00
67000.00,31474.00,29459.00,26100.00,15293.00,26197.00,40439.00
